loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
Script running in the background. Check 'ablation.log' for logs.
2024-07-12 14:17:31,267 - INFO - Available GPUs: 8
2024-07-12 15:21:34,633 - INFO - Running experiment: Architecture=nested_unet, Loss=dicebce, Balance=False, Batch Size=8
2024-07-12 15:23:51,926 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dice, Balance=False, Batch Size=8
2024-07-12 15:23:51,929 - INFO - Running experiment: Architecture=nested_unet, Loss=dicebce, Balance=False, Batch Size=16
2024-07-12 15:24:17,387 - INFO - Finished Experiment: Architecture=nested_unet, Loss=xe, Balance=True, Batch Size=8
2024-07-12 15:24:17,394 - INFO - Running experiment: Architecture=nested_unet, Loss=dicebce, Balance=False, Batch Size=32
2024-07-12 15:26:41,269 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dice, Balance=False, Batch Size=32
2024-07-12 15:26:41,271 - INFO - Running experiment: Architecture=nested_unet, Loss=dicebce, Balance=True, Batch Size=8
2024-07-12 15:27:19,946 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dice, Balance=False, Batch Size=16
2024-07-12 15:27:19,948 - INFO - Running experiment: Architecture=nested_unet, Loss=dicebce, Balance=True, Batch Size=16
2024-07-12 15:38:18,569 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dice, Balance=True, Batch Size=8
2024-07-12 15:38:18,571 - INFO - Running experiment: Architecture=nested_unet, Loss=dicebce, Balance=True, Batch Size=32
2024-07-12 15:39:42,071 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dice, Balance=True, Batch Size=16
2024-07-12 15:39:42,073 - INFO - Running experiment: Architecture=deeplabv3, Loss=xe, Balance=False, Batch Size=8
2024-07-12 15:41:21,951 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dice, Balance=True, Batch Size=32
2024-07-12 15:41:21,956 - INFO - Running experiment: Architecture=deeplabv3, Loss=xe, Balance=False, Batch Size=16
2024-07-12 15:48:42,841 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dicebce, Balance=False, Batch Size=16
2024-07-12 15:48:42,849 - INFO - Running experiment: Architecture=deeplabv3, Loss=xe, Balance=False, Batch Size=32
2024-07-12 15:49:09,170 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dicebce, Balance=False, Batch Size=8
2024-07-12 15:49:09,172 - INFO - Running experiment: Architecture=deeplabv3, Loss=xe, Balance=True, Batch Size=8
2024-07-12 15:50:39,289 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dicebce, Balance=False, Batch Size=32
2024-07-12 15:50:39,297 - INFO - Running experiment: Architecture=deeplabv3, Loss=xe, Balance=True, Batch Size=16
2024-07-12 15:53:55,332 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dicebce, Balance=True, Batch Size=8
2024-07-12 15:53:55,335 - INFO - Running experiment: Architecture=deeplabv3, Loss=xe, Balance=True, Batch Size=32
2024-07-12 15:58:51,242 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dicebce, Balance=True, Batch Size=16
2024-07-12 15:58:51,251 - INFO - Running experiment: Architecture=deeplabv3, Loss=dice, Balance=False, Batch Size=8
2024-07-12 16:03:04,686 - INFO - Finished Experiment: Architecture=nested_unet, Loss=dicebce, Balance=True, Batch Size=32
2024-07-12 16:03:04,688 - INFO - Running experiment: Architecture=deeplabv3, Loss=dice, Balance=False, Batch Size=16
2024-07-12 16:03:42,676 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=xe, Balance=False, Batch Size=16
2024-07-12 16:03:42,689 - INFO - Running experiment: Architecture=deeplabv3, Loss=dice, Balance=False, Batch Size=32
2024-07-12 16:07:31,708 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=xe, Balance=False, Batch Size=8
2024-07-12 16:07:31,711 - INFO - Running experiment: Architecture=deeplabv3, Loss=dice, Balance=True, Batch Size=8
